"subject","procedure","pSwitch","stim","trial","taskcode","transition","rt","error","errortrim"
2,"cuedproc",0.2,8,2,"mag","Rep",754,0,0
2,"cuedproc",0.2,3,3,"mag","Rep",722,0,0
2,"cuedproc",0.2,1,4,"mag","Rep",635,0,0
2,"cuedproc",0.2,2,5,"mag","Rep",681,0,0
2,"cuedproc",0.2,7,6,"mag","Rep",620,0,0
2,"cuedproc",0.2,3,7,"mag","Rep",738,0,0
2,"cuedproc",0.2,9,8,"mag","Rep",691,0,0
2,"cuedproc",0.2,6,9,"mag","Rep",782,0,0
2,"cuedproc",0.2,4,10,"mag","Rep",821,0,0
2,"cuedproc",0.2,7,11,"mag","Rep",770,0,0
2,"cuedproc",0.2,9,12,"mag","Rep",793,0,0
2,"cuedproc",0.2,2,13,"parity","Switch",1120,0,0
2,"cuedproc",0.2,2,14,"parity","Rep",880,0,0
2,"cuedproc",0.2,7,16,"parity","Switch",1127,0,0
2,"cuedproc",0.2,2,17,"error","Rep",1023,1,1
2,"cuedproc",0.6,9,2,"parity","Rep",1030,0,0
2,"cuedproc",0.6,7,3,"mag","Switch",738,0,0
2,"cuedproc",0.6,4,4,"parity","Switch",867,0,0
2,"cuedproc",0.6,3,5,"mag","Switch",574,0,0
2,"cuedproc",0.6,9,6,"mag","Rep",894,0,0
2,"cuedproc",0.6,7,7,"parity","Switch",968,0,0
2,"cuedproc",0.6,8,9,"parity","Rep",630,0,0
2,"cuedproc",0.6,8,10,"parity","Rep",451,0,0
2,"cuedproc",0.6,6,11,"mag","Switch",1112,0,0
2,"cuedproc",0.6,2,12,"mag","Rep",448,0,0
2,"cuedproc",0.6,9,13,"parity","Switch",1014,0,0
2,"cuedproc",0.6,7,14,"mag","Switch",882,0,0
2,"cuedproc",0.6,7,15,"parity","Switch",1013,0,0
2,"cuedproc",0.6,3,16,"parity","Rep",545,0,0
2,"cuedproc",0.6,8,17,"parity","Rep",506,0,0
2,"cuedproc",0,7,2,"parity","Rep",518,0,0
2,"cuedproc",0,7,3,"parity","Rep",440,0,0
2,"cuedproc",0,3,4,"parity","Rep",438,0,0
2,"cuedproc",0,9,5,"error","Rep",427,1,1
2,"cuedproc",0,8,6,"parity","Rep",483,0,1
2,"cuedproc",0,3,7,"parity","Rep",647,0,0
2,"cuedproc",0,7,8,"parity","Rep",483,0,0
2,"cuedproc",0,7,9,"parity","Rep",327,0,0
2,"cuedproc",0,2,10,"parity","Rep",577,0,0
2,"cuedproc",0,6,11,"parity","Rep",553,0,0
2,"cuedproc",0,1,12,"parity","Rep",514,0,0
2,"cuedproc",0,1,13,"parity","Rep",364,0,0
2,"cuedproc",0,9,14,"parity","Rep",549,0,0
2,"cuedproc",0,1,15,"parity","Rep",366,0,0
2,"cuedproc",0,4,16,"parity","Rep",415,0,0
2,"cuedproc",0,9,17,"error","Rep",397,1,1
2,"cuedproc",0.9,2,2,"parity","Switch",852,0,0
2,"cuedproc",0.9,3,4,"parity","Switch",820,0,0
2,"cuedproc",0.9,8,5,"mag","Switch",737,0,0
2,"cuedproc",0.9,1,6,"parity","Switch",706,0,0
2,"cuedproc",0.9,2,8,"parity","Switch",1132,0,0
2,"cuedproc",0.9,8,9,"mag","Switch",908,0,0
2,"cuedproc",0.9,9,10,"parity","Switch",1029,0,0
2,"cuedproc",0.9,4,11,"mag","Switch",849,0,0
2,"cuedproc",0.9,1,12,"parity","Switch",877,0,0
2,"cuedproc",0.9,9,13,"mag","Switch",903,0,0
2,"cuedproc",0.9,7,14,"parity","Switch",801,0,0
2,"cuedproc",0.9,3,15,"error","Switch",687,1,1
2,"cuedproc",0.9,4,16,"parity","Switch",1188,0,1
2,"cuedproc",0.9,9,17,"mag","Switch",1001,0,0
2,"cuedproc",0.8,4,2,"parity","Rep",587,0,0
2,"cuedproc",0.8,8,3,"mag","Switch",826,0,0
2,"cuedproc",0.8,4,4,"parity","Switch",799,0,0
2,"cuedproc",0.8,7,5,"mag","Switch",789,0,0
2,"cuedproc",0.8,8,7,"parity","Switch",675,0,1
2,"cuedproc",0.8,1,8,"mag","Switch",783,0,0
2,"cuedproc",0.8,7,9,"parity","Switch",1158,0,0
2,"cuedproc",0.8,9,10,"parity","Rep",669,0,0
2,"cuedproc",0.8,7,11,"mag","Switch",816,0,0
2,"cuedproc",0.8,2,12,"parity","Switch",878,0,0
2,"cuedproc",0.8,6,13,"mag","Switch",800,0,0
2,"cuedproc",0.8,8,14,"mag","Rep",542,0,0
2,"cuedproc",0.8,7,15,"parity","Switch",1096,0,0
2,"cuedproc",0.8,9,16,"mag","Switch",593,0,0
2,"cuedproc",0.8,2,17,"error","Switch",624,1,1
2,"cuedproc",0.7,1,2,"parity","Rep",537,0,0
2,"cuedproc",0.7,1,3,"mag","Switch",762,0,0
2,"cuedproc",0.7,7,4,"parity","Switch",1314,0,0
2,"cuedproc",0.7,6,5,"mag","Switch",657,0,0
2,"cuedproc",0.7,3,6,"parity","Switch",686,0,0
2,"cuedproc",0.7,9,7,"mag","Switch",1017,0,0
2,"cuedproc",0.7,1,8,"mag","Rep",813,0,0
2,"cuedproc",0.7,1,9,"parity","Switch",763,0,0
2,"cuedproc",0.7,7,10,"parity","Rep",978,0,0
2,"cuedproc",0.7,3,11,"mag","Switch",1008,0,0
2,"cuedproc",0.7,8,12,"error","Rep",685,1,1
2,"cuedproc",0.7,4,14,"mag","Switch",1095,0,0
2,"cuedproc",0.7,2,16,"mag","Switch",1150,0,0
2,"cuedproc",0.7,8,17,"parity","Switch",733,0,0
2,"cuedproc",0.4,4,2,"error","Switch",1283,1,1
2,"cuedproc",0.4,4,5,"mag","Switch",694,0,0
2,"cuedproc",0.4,4,6,"mag","Rep",592,0,0
2,"cuedproc",0.4,8,7,"parity","Switch",1207,0,0
2,"cuedproc",0.4,4,8,"mag","Switch",588,0,0
2,"cuedproc",0.4,9,9,"error","Rep",851,1,1
2,"cuedproc",0.4,4,10,"parity","Switch",1257,0,1
2,"cuedproc",0.4,2,11,"mag","Switch",1300,0,0
2,"cuedproc",0.4,6,12,"parity","Switch",1116,0,0
2,"cuedproc",0.4,8,13,"parity","Rep",612,0,0
2,"cuedproc",0.4,2,14,"parity","Rep",650,0,0
2,"cuedproc",0.4,7,15,"parity","Rep",743,0,0
2,"cuedproc",0.4,9,16,"parity","Rep",751,0,0
2,"cuedproc",0.4,3,17,"mag","Switch",1087,0,0
2,"cuedproc",1,4,2,"parity","Switch",588,0,0
2,"cuedproc",1,8,4,"parity","Switch",948,0,0
2,"cuedproc",1,4,5,"mag","Switch",980,0,0
2,"cuedproc",1,7,6,"parity","Switch",666,0,0
2,"cuedproc",1,1,8,"parity","Switch",615,0,0
2,"cuedproc",1,4,10,"parity","Switch",1267,0,0
2,"cuedproc",1,2,12,"parity","Switch",1049,0,0
2,"cuedproc",1,9,13,"mag","Switch",965,0,0
2,"cuedproc",1,4,15,"mag","Switch",1282,0,0
2,"cuedproc",1,8,16,"parity","Switch",811,0,0
2,"cuedproc",0.3,3,2,"mag","Rep",620,0,0
2,"cuedproc",0.3,9,3,"mag","Rep",994,0,0
2,"cuedproc",0.3,7,4,"parity","Switch",816,0,0
2,"cuedproc",0.3,6,5,"parity","Rep",605,0,0
2,"cuedproc",0.3,1,6,"mag","Switch",972,0,0
2,"cuedproc",0.3,6,7,"parity","Switch",650,0,0
2,"cuedproc",0.3,3,8,"parity","Rep",831,0,0
2,"cuedproc",0.3,9,9,"parity","Rep",1035,0,0
2,"cuedproc",0.3,2,10,"parity","Rep",735,0,0
2,"cuedproc",0.3,3,11,"parity","Rep",664,0,0
2,"cuedproc",0.3,1,12,"parity","Rep",468,0,0
2,"cuedproc",0.3,2,13,"parity","Rep",528,0,0
2,"cuedproc",0.3,8,14,"mag","Switch",737,0,0
2,"cuedproc",0.3,4,15,"error","Rep",666,1,1
2,"cuedproc",0.3,8,16,"mag","Rep",704,0,1
2,"cuedproc",0.3,9,17,"parity","Switch",1170,0,0
2,"cuedproc",0.5,9,2,"mag","Rep",533,0,0
2,"cuedproc",0.5,2,3,"mag","Rep",590,0,0
2,"cuedproc",0.5,8,4,"parity","Switch",878,0,0
2,"cuedproc",0.5,8,5,"parity","Rep",536,0,0
2,"cuedproc",0.5,8,6,"mag","Switch",1018,0,0
2,"cuedproc",0.5,6,8,"parity","Rep",646,0,0
2,"cuedproc",0.5,8,9,"parity","Rep",642,0,0
2,"cuedproc",0.5,8,11,"mag","Switch",693,0,0
2,"cuedproc",0.5,1,12,"mag","Rep",535,0,0
2,"cuedproc",0.5,2,13,"error","Rep",593,1,1
2,"cuedproc",0.5,1,14,"mag","Rep",467,0,1
2,"cuedproc",0.5,2,15,"mag","Rep",807,0,0
2,"cuedproc",0.5,2,16,"parity","Switch",949,0,0
2,"cuedproc",0.5,1,17,"parity","Rep",637,0,0
2,"cuedproc",0.1,2,2,"mag","Rep",562,0,1
2,"cuedproc",0.1,3,4,"mag","Switch",1224,0,0
2,"cuedproc",0.1,1,5,"mag","Rep",532,0,0
2,"cuedproc",0.1,2,6,"parity","Switch",829,0,0
2,"cuedproc",0.1,8,7,"parity","Rep",818,0,0
2,"cuedproc",0.1,2,8,"parity","Rep",711,0,0
2,"cuedproc",0.1,2,9,"parity","Rep",481,0,0
2,"cuedproc",0.1,2,10,"parity","Rep",341,0,0
2,"cuedproc",0.1,6,11,"parity","Rep",455,0,0
2,"cuedproc",0.1,8,12,"parity","Rep",372,0,0
2,"cuedproc",0.1,2,13,"parity","Rep",373,0,0
2,"cuedproc",0.1,1,14,"parity","Rep",678,0,0
2,"cuedproc",0.1,3,15,"parity","Rep",657,0,0
2,"cuedproc",0.1,6,16,"parity","Rep",517,0,0
2,"cuedproc",0.1,1,17,"parity","Rep",392,0,0
2,"cuedproc",0.5,7,2,"error","Switch",725,1,1
2,"cuedproc",0.5,2,3,"parity","Rep",929,0,1
2,"cuedproc",0.5,3,4,"parity","Rep",777,0,0
2,"cuedproc",0.5,1,5,"parity","Rep",480,0,0
2,"cuedproc",0.5,8,6,"parity","Rep",508,0,0
2,"cuedproc",0.5,2,7,"mag","Switch",943,0,0
2,"cuedproc",0.5,3,8,"mag","Rep",783,0,0
2,"cuedproc",0.5,7,9,"parity","Switch",1254,0,0
2,"cuedproc",0.5,3,10,"mag","Switch",968,0,0
2,"cuedproc",0.5,8,11,"parity","Switch",846,0,0
2,"cuedproc",0.5,6,12,"parity","Rep",570,0,0
2,"cuedproc",0.5,7,13,"parity","Rep",546,0,0
2,"cuedproc",0.5,4,14,"parity","Rep",715,0,0
2,"cuedproc",0.5,3,15,"mag","Switch",573,0,0
2,"cuedproc",0.5,4,16,"parity","Switch",557,0,0
2,"cuedproc",0.5,1,17,"parity","Rep",894,0,0
2,"cuedproc",0.9,7,2,"parity","Switch",719,0,0
2,"cuedproc",0.9,4,3,"error","Switch",913,1,1
2,"cuedproc",0.9,8,4,"parity","Switch",532,0,1
2,"cuedproc",0.9,6,5,"mag","Switch",534,0,0
2,"cuedproc",0.9,8,6,"parity","Switch",679,0,0
2,"cuedproc",0.9,3,7,"mag","Switch",698,0,0
2,"cuedproc",0.9,4,8,"parity","Switch",1277,0,0
2,"cuedproc",0.9,1,9,"mag","Switch",926,0,0
2,"cuedproc",0.9,4,10,"mag","Rep",1271,0,0
2,"cuedproc",0.9,4,11,"parity","Switch",976,0,0
2,"cuedproc",0.9,8,12,"mag","Switch",1095,0,0
2,"cuedproc",0.9,6,13,"parity","Switch",1064,0,0
2,"cuedproc",0.9,2,14,"mag","Switch",1306,0,0
2,"cuedproc",0.9,7,16,"mag","Switch",881,0,0
2,"cuedproc",0.9,1,17,"parity","Switch",794,0,0
2,"cuedproc",0.8,9,2,"mag","Rep",572,0,1
2,"cuedproc",0.8,6,4,"error","Switch",877,1,1
2,"cuedproc",0.8,8,5,"parity","Switch",842,0,1
2,"cuedproc",0.8,7,6,"error","Switch",1031,1,1
2,"cuedproc",0.8,6,7,"parity","Switch",621,0,1
2,"cuedproc",0.8,2,8,"mag","Switch",883,0,0
2,"cuedproc",0.8,6,9,"parity","Switch",1253,0,0
2,"cuedproc",0.8,2,10,"error","Switch",816,1,1
2,"cuedproc",0.8,1,11,"parity","Switch",823,0,1
2,"cuedproc",0.8,2,12,"error","Switch",772,1,1
2,"cuedproc",0.8,8,15,"mag","Switch",617,0,0
2,"cuedproc",0.8,1,16,"parity","Switch",975,0,0
2,"cuedproc",0.8,9,17,"mag","Switch",1294,0,0
2,"cuedproc",0.1,4,2,"mag","Rep",486,0,0
2,"cuedproc",0.1,1,3,"mag","Rep",449,0,0
2,"cuedproc",0.1,8,4,"mag","Rep",534,0,0
2,"cuedproc",0.1,9,5,"mag","Rep",632,0,0
2,"cuedproc",0.1,4,6,"mag","Rep",645,0,0
2,"cuedproc",0.1,3,7,"mag","Rep",490,0,0
2,"cuedproc",0.1,6,8,"mag","Rep",517,0,0
2,"cuedproc",0.1,2,9,"mag","Rep",544,0,0
2,"cuedproc",0.1,3,10,"mag","Rep",545,0,0
2,"cuedproc",0.1,1,11,"parity","Switch",690,0,0
2,"cuedproc",0.1,4,12,"parity","Rep",805,0,0
2,"cuedproc",0.1,3,13,"parity","Rep",707,0,0
2,"cuedproc",0.1,7,14,"parity","Rep",725,0,0
2,"cuedproc",0.1,2,15,"parity","Rep",671,0,0
2,"cuedproc",0.1,4,16,"parity","Rep",498,0,0
2,"cuedproc",0.1,4,17,"parity","Rep",381,0,0
2,"cuedproc",0.2,3,2,"mag","Rep",538,0,0
2,"cuedproc",0.2,8,3,"mag","Rep",547,0,0
2,"cuedproc",0.2,9,4,"mag","Rep",452,0,0
2,"cuedproc",0.2,6,5,"mag","Rep",513,0,0
2,"cuedproc",0.2,9,6,"mag","Rep",460,0,0
2,"cuedproc",0.2,1,7,"mag","Rep",472,0,0
2,"cuedproc",0.2,8,8,"mag","Rep",613,0,0
2,"cuedproc",0.2,7,9,"mag","Rep",515,0,0
2,"cuedproc",0.2,2,10,"mag","Rep",533,0,0
2,"cuedproc",0.2,4,11,"mag","Rep",911,0,0
2,"cuedproc",0.2,3,12,"mag","Rep",832,0,0
2,"cuedproc",0.2,1,13,"mag","Rep",676,0,0
2,"cuedproc",0.2,3,14,"mag","Rep",568,0,0
2,"cuedproc",0.2,6,15,"mag","Rep",583,0,0
2,"cuedproc",0.2,3,16,"mag","Rep",598,0,0
2,"cuedproc",0.2,2,17,"mag","Rep",581,0,0
2,"cuedproc",0,4,2,"mag","Rep",514,0,0
2,"cuedproc",0,4,3,"mag","Rep",388,0,0
2,"cuedproc",0,3,4,"mag","Rep",341,0,0
2,"cuedproc",0,1,5,"mag","Rep",311,0,0
2,"cuedproc",0,8,6,"mag","Rep",434,0,0
2,"cuedproc",0,9,7,"mag","Rep",392,0,0
2,"cuedproc",0,1,8,"mag","Rep",368,0,0
2,"cuedproc",0,9,9,"mag","Rep",393,0,0
2,"cuedproc",0,7,10,"mag","Rep",504,0,0
2,"cuedproc",0,7,11,"mag","Rep",379,0,0
2,"cuedproc",0,1,12,"mag","Rep",419,0,0
2,"cuedproc",0,2,13,"mag","Rep",370,0,0
2,"cuedproc",0,6,14,"mag","Rep",419,0,0
2,"cuedproc",0,4,15,"mag","Rep",370,0,0
2,"cuedproc",0,6,16,"mag","Rep",370,0,0
2,"cuedproc",0,6,17,"mag","Rep",395,0,0
2,"cuedproc",1,9,2,"mag","Switch",826,0,0
2,"cuedproc",1,2,3,"parity","Switch",967,0,0
2,"cuedproc",1,1,4,"mag","Switch",686,0,0
2,"cuedproc",1,4,5,"parity","Switch",649,0,0
2,"cuedproc",1,4,6,"error","Switch",645,1,1
2,"cuedproc",1,1,7,"parity","Switch",852,0,1
2,"cuedproc",1,6,8,"mag","Switch",704,0,0
2,"cuedproc",1,9,9,"parity","Switch",906,0,0
2,"cuedproc",1,1,10,"mag","Switch",676,0,0
2,"cuedproc",1,6,12,"mag","Switch",909,0,0
2,"cuedproc",1,8,13,"parity","Switch",998,0,0
2,"cuedproc",1,7,14,"mag","Switch",1076,0,0
2,"cuedproc",1,9,15,"error","Switch",734,1,1
2,"cuedproc",1,1,16,"mag","Switch",769,0,1
2,"cuedproc",1,1,17,"parity","Switch",865,0,0
2,"cuedproc",0.4,4,2,"parity","Switch",648,0,0
2,"cuedproc",0.4,6,3,"parity","Rep",636,0,0
2,"cuedproc",0.4,7,4,"mag","Switch",642,0,0
2,"cuedproc",0.4,9,5,"parity","Switch",983,0,0
2,"cuedproc",0.4,7,6,"mag","Switch",1317,0,0
2,"cuedproc",0.4,7,7,"parity","Switch",741,0,0
2,"cuedproc",0.4,1,9,"parity","Rep",953,0,0
2,"cuedproc",0.4,2,10,"parity","Rep",897,0,0
2,"cuedproc",0.4,2,11,"mag","Switch",691,0,0
2,"cuedproc",0.4,6,12,"error","Rep",550,1,1
2,"cuedproc",0.4,7,13,"error","Rep",761,1,1
2,"cuedproc",0.4,9,14,"parity","Switch",1331,0,1
2,"cuedproc",0.4,9,15,"parity","Rep",586,0,0
2,"cuedproc",0.4,1,16,"parity","Rep",529,0,0
2,"cuedproc",0.4,6,17,"mag","Switch",1146,0,0
2,"cuedproc",0.7,4,2,"mag","Switch",1040,0,0
2,"cuedproc",0.7,9,3,"mag","Rep",756,0,0
2,"cuedproc",0.7,1,4,"mag","Rep",573,0,0
2,"cuedproc",0.7,7,6,"mag","Switch",774,0,0
2,"cuedproc",0.7,6,7,"parity","Switch",757,0,0
2,"cuedproc",0.7,2,8,"mag","Switch",605,0,0
2,"cuedproc",0.7,7,9,"parity","Switch",1020,0,0
2,"cuedproc",0.7,3,10,"mag","Switch",841,0,0
2,"cuedproc",0.7,2,11,"parity","Switch",917,0,0
2,"cuedproc",0.7,1,12,"parity","Rep",646,0,0
2,"cuedproc",0.7,1,13,"mag","Switch",555,0,0
2,"cuedproc",0.7,1,14,"parity","Switch",668,0,0
2,"cuedproc",0.7,7,17,"mag","Switch",1003,0,0
2,"cuedproc",0.3,9,2,"mag","Rep",490,0,0
2,"cuedproc",0.3,8,3,"parity","Switch",870,0,0
2,"cuedproc",0.3,6,4,"parity","Rep",593,0,0
2,"cuedproc",0.3,4,5,"parity","Rep",448,0,0
2,"cuedproc",0.3,9,6,"mag","Switch",565,0,0
2,"cuedproc",0.3,1,7,"mag","Rep",540,0,0
2,"cuedproc",0.3,7,8,"mag","Rep",726,0,0
2,"cuedproc",0.3,4,9,"parity","Switch",896,0,0
2,"cuedproc",0.3,8,10,"parity","Rep",577,0,0
2,"cuedproc",0.3,4,11,"mag","Switch",793,0,0
2,"cuedproc",0.3,6,12,"parity","Switch",703,0,0
2,"cuedproc",0.3,8,13,"mag","Switch",746,0,0
2,"cuedproc",0.3,3,14,"parity","Switch",770,0,0
2,"cuedproc",0.3,9,16,"mag","Rep",1189,0,0
2,"cuedproc",0.3,8,17,"mag","Rep",555,0,0
2,"cuedproc",0.6,9,2,"mag","Rep",746,0,0
2,"cuedproc",0.6,9,3,"mag","Rep",434,0,0
2,"cuedproc",0.6,3,4,"parity","Switch",744,0,0
2,"cuedproc",0.6,6,5,"parity","Rep",576,0,0
2,"cuedproc",0.6,9,6,"mag","Switch",1056,0,0
2,"cuedproc",0.6,7,7,"parity","Switch",867,0,0
2,"cuedproc",0.6,7,8,"mag","Switch",1079,0,0
2,"cuedproc",0.6,7,9,"parity","Switch",968,0,0
2,"cuedproc",0.6,3,10,"parity","Rep",551,0,0
2,"cuedproc",0.6,2,11,"mag","Switch",1120,0,0
2,"cuedproc",0.6,1,13,"parity","Rep",916,0,0
2,"cuedproc",0.6,1,14,"mag","Switch",789,0,0
2,"cuedproc",0.6,2,15,"parity","Switch",1076,0,0
2,"cuedproc",0.6,4,16,"mag","Switch",910,0,0
2,"cuedproc",0.6,7,17,"parity","Switch",952,0,0
2,"cuedproc",0.1,6,2,"parity","Rep",1033,0,0
2,"cuedproc",0.1,1,3,"parity","Rep",445,0,0
2,"cuedproc",0.1,6,4,"parity","Rep",466,0,0
2,"cuedproc",0.1,8,5,"parity","Rep",431,0,0
2,"cuedproc",0.1,3,6,"parity","Rep",541,0,0
2,"cuedproc",0.1,7,7,"parity","Rep",622,0,0
2,"cuedproc",0.1,7,8,"parity","Rep",468,0,0
2,"cuedproc",0.1,2,9,"parity","Rep",465,0,0
2,"cuedproc",0.1,7,10,"parity","Rep",429,0,0
2,"cuedproc",0.1,3,11,"parity","Rep",419,0,0
2,"cuedproc",0.1,3,12,"parity","Rep",346,0,0
2,"cuedproc",0.1,9,13,"error","Rep",443,1,1
2,"cuedproc",0.1,4,14,"parity","Rep",603,0,1
2,"cuedproc",0.1,3,15,"parity","Rep",466,0,0
2,"cuedproc",0.1,6,16,"parity","Rep",470,0,0
2,"cuedproc",0.1,9,17,"parity","Rep",587,0,0
2,"cuedproc",0.3,7,2,"mag","Rep",485,0,1
2,"cuedproc",0.3,6,3,"mag","Rep",761,0,0
2,"cuedproc",0.3,1,4,"mag","Rep",457,0,0
2,"cuedproc",0.3,6,5,"mag","Rep",510,0,0
2,"cuedproc",0.3,3,6,"parity","Switch",567,0,0
2,"cuedproc",0.3,8,7,"parity","Rep",464,0,0
2,"cuedproc",0.3,2,8,"mag","Switch",892,0,0
2,"cuedproc",0.3,2,9,"parity","Switch",918,0,0
2,"cuedproc",0.3,4,10,"parity","Rep",735,0,0
2,"cuedproc",0.3,2,11,"mag","Switch",1048,0,0
2,"cuedproc",0.3,8,12,"parity","Switch",667,0,0
2,"cuedproc",0.3,3,13,"mag","Switch",591,0,0
2,"cuedproc",0.3,6,14,"mag","Rep",814,0,0
2,"cuedproc",0.3,6,15,"mag","Rep",452,0,0
2,"cuedproc",0.3,2,16,"error","Switch",545,1,1
2,"cuedproc",0.3,6,17,"parity","Rep",740,0,1
2,"cuedproc",0,6,2,"mag","Rep",442,0,1
2,"cuedproc",0,6,3,"mag","Rep",336,0,0
2,"cuedproc",0,7,4,"mag","Rep",427,0,0
2,"cuedproc",0,4,5,"mag","Rep",585,0,0
2,"cuedproc",0,3,6,"mag","Rep",512,0,0
2,"cuedproc",0,1,7,"mag","Rep",418,0,0
2,"cuedproc",0,1,8,"mag","Rep",297,0,0
2,"cuedproc",0,9,9,"mag","Rep",413,0,0
2,"cuedproc",0,9,10,"mag","Rep",332,0,0
2,"cuedproc",0,9,11,"mag","Rep",310,0,0
2,"cuedproc",0,4,12,"mag","Rep",489,0,0
2,"cuedproc",0,8,13,"mag","Rep",421,0,0
2,"cuedproc",0,1,14,"mag","Rep",411,0,0
2,"cuedproc",0,9,15,"mag","Rep",362,0,0
2,"cuedproc",0,8,16,"mag","Rep",387,0,0
2,"cuedproc",0,3,17,"mag","Rep",435,0,0
2,"cuedproc",0.7,9,2,"mag","Switch",530,0,0
2,"cuedproc",0.7,8,3,"parity","Switch",699,0,0
2,"cuedproc",0.7,9,4,"mag","Switch",677,0,0
2,"cuedproc",0.7,8,5,"parity","Switch",472,0,0
2,"cuedproc",0.7,7,6,"parity","Rep",557,0,0
2,"cuedproc",0.7,8,7,"parity","Rep",397,0,0
2,"cuedproc",0.7,6,8,"error","Switch",621,1,1
2,"cuedproc",0.7,2,9,"parity","Switch",653,0,1
2,"cuedproc",0.7,6,10,"mag","Switch",882,0,0
2,"cuedproc",0.7,8,11,"parity","Switch",612,0,0
2,"cuedproc",0.7,7,12,"mag","Switch",1002,0,0
2,"cuedproc",0.7,6,13,"parity","Switch",655,0,0
2,"cuedproc",0.7,7,14,"parity","Rep",564,0,0
2,"cuedproc",0.7,9,15,"mag","Switch",540,0,0
2,"cuedproc",0.7,8,16,"parity","Switch",894,0,0
2,"cuedproc",0.7,1,17,"mag","Switch",880,0,0
2,"cuedproc",0.9,1,2,"mag","Rep",633,0,0
2,"cuedproc",0.9,3,3,"parity","Switch",606,0,0
2,"cuedproc",0.9,4,4,"mag","Switch",829,0,0
2,"cuedproc",0.9,3,5,"parity","Switch",913,0,0
2,"cuedproc",0.9,4,6,"mag","Switch",1074,0,0
2,"cuedproc",0.9,8,7,"parity","Switch",844,0,0
2,"cuedproc",0.9,6,8,"mag","Switch",608,0,0
2,"cuedproc",0.9,8,9,"parity","Switch",679,0,0
2,"cuedproc",0.9,7,10,"mag","Switch",1138,0,0
2,"cuedproc",0.9,6,11,"mag","Rep",698,0,0
2,"cuedproc",0.9,3,12,"mag","Rep",908,0,0
2,"cuedproc",0.9,3,13,"parity","Switch",950,0,0
2,"cuedproc",0.9,2,14,"mag","Switch",884,0,0
2,"cuedproc",0.9,8,15,"parity","Switch",575,0,0
2,"cuedproc",0.9,7,16,"mag","Switch",767,0,0
2,"cuedproc",0.9,8,17,"parity","Switch",630,0,0
2,"cuedproc",0.2,4,2,"mag","Switch",744,0,0
2,"cuedproc",0.2,4,3,"mag","Rep",584,0,0
2,"cuedproc",0.2,9,4,"mag","Rep",808,0,0
2,"cuedproc",0.2,3,5,"mag","Rep",1014,0,0
2,"cuedproc",0.2,9,7,"mag","Rep",703,0,0
2,"cuedproc",0.2,6,9,"mag","Rep",657,0,0
2,"cuedproc",0.2,8,10,"mag","Rep",589,0,0
2,"cuedproc",0.2,9,11,"mag","Rep",637,0,0
2,"cuedproc",0.2,2,12,"parity","Switch",634,0,0
2,"cuedproc",0.2,9,13,"parity","Rep",719,0,0
2,"cuedproc",0.2,7,14,"parity","Rep",529,0,0
2,"cuedproc",0.2,7,15,"parity","Rep",395,0,0
2,"cuedproc",0.2,4,16,"mag","Switch",874,0,0
2,"cuedproc",0.2,8,17,"mag","Rep",573,0,0
2,"cuedproc",0.4,7,2,"error","Switch",544,1,1
2,"cuedproc",0.4,2,3,"parity","Switch",691,0,1
2,"cuedproc",0.4,6,4,"mag","Switch",654,0,0
2,"cuedproc",0.4,8,5,"parity","Switch",531,0,0
2,"cuedproc",0.4,1,6,"parity","Rep",685,0,0
2,"cuedproc",0.4,1,7,"mag","Switch",544,0,0
2,"cuedproc",0.4,2,8,"parity","Switch",609,0,0
2,"cuedproc",0.4,2,9,"error","Switch",567,1,1
2,"cuedproc",0.4,6,10,"mag","Rep",562,0,1
2,"cuedproc",0.4,6,11,"mag","Rep",426,0,0
2,"cuedproc",0.4,8,12,"parity","Switch",632,0,0
2,"cuedproc",0.4,3,13,"mag","Switch",621,0,0
2,"cuedproc",0.4,2,14,"mag","Rep",627,0,0
2,"cuedproc",0.4,2,15,"mag","Rep",488,0,0
2,"cuedproc",0.4,3,16,"mag","Rep",484,0,0
2,"cuedproc",0.4,3,17,"mag","Rep",416,0,0
2,"cuedproc",0.8,4,2,"parity","Switch",744,0,0
2,"cuedproc",0.8,9,3,"parity","Rep",857,0,0
2,"cuedproc",0.8,7,4,"mag","Switch",644,0,0
2,"cuedproc",0.8,6,5,"mag","Rep",713,0,0
2,"cuedproc",0.8,9,6,"parity","Switch",826,0,0
2,"cuedproc",0.8,4,7,"parity","Rep",920,0,0
2,"cuedproc",0.8,1,8,"mag","Switch",737,0,0
2,"cuedproc",0.8,3,9,"mag","Rep",570,0,0
2,"cuedproc",0.8,6,10,"parity","Switch",618,0,0
2,"cuedproc",0.8,4,11,"parity","Rep",504,0,0
2,"cuedproc",0.8,2,12,"mag","Switch",715,0,0
2,"cuedproc",0.8,9,13,"parity","Switch",779,0,0
2,"cuedproc",0.8,8,14,"mag","Switch",634,0,0
2,"cuedproc",0.8,7,15,"parity","Switch",743,0,0
2,"cuedproc",0.8,9,16,"error","Switch",856,1,1
2,"cuedproc",0.8,4,17,"parity","Switch",598,0,1
2,"cuedproc",0.6,8,2,"parity","Switch",727,0,0
2,"cuedproc",0.6,7,3,"parity","Rep",968,0,0
2,"cuedproc",0.6,7,4,"parity","Rep",655,0,0
2,"cuedproc",0.6,7,5,"mag","Switch",820,0,0
2,"cuedproc",0.6,7,6,"parity","Switch",705,0,0
